2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-0.913251,#load/mN#-0.003974 loadDisp_c4r3_ht.txt
time/s	depth/nm	load/mN	exp_depth/nm	exp_load/mN
2.507511	103.103659	1.427357	102.19040799999999	1.423383
2.562277	105.246911	1.459112	104.33366	1.455138
2.620385	107.077065	1.492864	106.163814	1.48889
2.679850	108.807463	1.528399	107.894212	1.5244250000000001
2.738968	111.468749	1.564276	110.555498	1.560302
2.796139	114.454383	1.598501	113.541132	1.594527
2.854962	116.384660	1.634080	115.471409	1.630106
2.908338	120.184887	1.666844	119.271636	1.66287
2.963694	121.966741	1.699869	121.05349	1.6958950000000002
3.021661	123.284618	1.734205	122.37136699999999	1.730231
3.076487	125.564645	1.768798	124.651394	1.7648240000000002
3.129221	127.706910	1.799861	126.79365899999999	1.795887
3.187464	129.833490	1.833570	128.920239	1.829596
3.246971	132.153233	1.869551	131.239982	1.865577
3.306350	135.108187	1.905010	134.19493599999998	1.9010360000000002
3.365145	137.444886	1.939951	136.531635	1.935977
3.423737	140.004398	1.975339	139.091147	1.971365
3.482181	142.637288	2.010478	141.724037	2.006504
3.540968	144.088774	2.046049	143.175523	2.042075
3.593011	145.411588	2.078689	144.498337	2.074715
3.644436	147.372667	2.109410	146.459416	2.105436
3.699230	149.535541	2.141323	148.62229	2.137349
3.758722	152.613163	2.176199	151.69991199999998	2.172225
3.818003	155.126499	2.211855	154.213248	2.207881
3.876424	157.162983	2.246975	156.249732	2.243001
3.934830	159.748156	2.281937	158.834905	2.277963
3.992892	162.665356	2.316998	161.752105	2.313024
4.050162	164.154036	2.351345	163.240785	2.347371
4.107821	165.119163	2.386095	164.20591199999998	2.382121
4.166289	166.722854	2.420835	165.809603	2.416861
4.226117	169.744100	2.456701	168.830849	2.452727
4.283260	171.434302	2.491412	170.521051	2.487438
4.340746	174.204512	2.525831	173.291261	2.5218570000000002
4.396069	176.751900	2.560121	175.838649	2.556147
4.450381	178.593249	2.592167	177.67999799999998	2.588193
4.509462	179.793031	2.626971	178.87978	2.6229970000000002
4.567567	181.835150	2.661904	180.921899	2.65793
4.623058	183.910397	2.695765	182.997146	2.6917910000000003
4.676456	185.223380	2.728518	184.310129	2.7245440000000003
4.731376	187.725031	2.759952	186.81178	2.7559780000000003
4.785720	189.958278	2.794166	189.045027	2.7901920000000002
4.843477	192.204191	2.827869	191.29094	2.8238950000000003
4.899523	193.939359	2.862610	193.026108	2.858636
4.954356	196.232602	2.894711	195.319351	2.890737
5.013228	198.267910	2.929283	197.354659	2.925309
5.072433	201.312257	2.964656	200.39900599999999	2.9606820000000003
5.132662	203.760138	3.000206	202.846887	2.996232
5.189888	206.463806	3.036606	205.550555	3.032632
5.245957	213.302565	3.069110	212.38931399999998	3.065136
5.305791	217.019296	3.104776	216.106045	3.1008020000000003
5.364494	219.245491	3.139748	218.33223999999998	3.135774
5.422523	221.147016	3.176365	220.233765	3.172391
5.475483	222.317249	3.207757	221.403998	3.203783
5.534344	224.000088	3.241502	223.086837	3.237528
5.590195	224.797059	3.276855	223.883808	3.272881
5.641202	225.800870	3.307652	224.887619	3.303678
5.694716	227.434730	3.339059	226.521479	3.3350850000000003
5.753378	228.804389	3.373339	227.89113799999998	3.369365
5.813272	230.819821	3.408739	229.90657	3.4047650000000003
5.872141	232.498523	3.444286	231.585272	3.440312
5.930852	234.903346	3.479587	233.990095	3.475613
5.990227	236.566931	3.515403	235.65368	3.511429
6.046147	238.130448	3.549442	237.217197	3.545468
6.100777	239.562846	3.583296	238.649595	3.579322
6.155829	241.383155	3.615676	240.46990399999999	3.611702
6.210337	243.089020	3.648853	242.175769	3.644879
6.265622	246.103672	3.681259	245.190421	3.677285
6.324673	247.765752	3.715907	246.852501	3.711933
6.383315	250.092637	3.751270	249.179386	3.747296
6.441173	252.127727	3.786074	251.214476	3.7821000000000002
6.499320	254.515473	3.821015	253.60222199999998	3.817041
6.556536	256.324834	3.855306	255.411583	3.851332
6.615419	257.707264	3.890561	256.794013	3.886587
6.673944	259.095481	3.925700	258.18223	3.921726
6.732635	261.539949	3.960824	260.626698	3.95685
6.790180	262.916209	3.995496	262.002958	3.9915220000000002
6.848496	265.864267	4.030519	264.951016	4.026545
6.906443	267.307645	4.065422	266.394394	4.0614479999999995
6.964114	267.925957	4.099900	267.012706	4.0959259999999995
7.029805	269.513911	4.139320	268.60066	4.135345999999999
7.087460	270.534520	4.174043	269.621269	4.170069
7.141375	271.364435	4.207545	270.451184	4.203570999999999
7.200915	273.347441	4.241909	272.43419	4.237934999999999
7.258587	275.023899	4.276459	274.11064799999997	4.272485
7.317230	276.925616	4.311599	276.012365	4.307625
7.377172	278.979056	4.347368	278.065805	4.343394
7.431421	281.532172	4.381739	280.618921	4.377764999999999
7.484020	283.341721	4.412834	282.42847	4.40886
7.543603	285.932679	4.447693	285.019428	4.443719
7.595831	287.134475	4.480429	286.221224	4.476455
7.647819	288.899547	4.511449	287.986296	4.5074749999999995
7.703646	291.198873	4.543976	290.285622	4.540001999999999
7.762825	292.746563	4.578725	291.833312	4.574751
7.822344	294.702641	4.614766	293.78939	4.610792
7.881074	296.449874	4.649845	295.536623	4.645871
7.939236	297.286902	4.684986	296.373651	4.681012
7.994166	298.857210	4.719147	297.943959	4.715173
8.049352	300.273273	4.751321	299.360022	4.7473469999999995
8.102759	301.502470	4.784576	300.589219	4.780602
8.158030	302.454104	4.817674	301.54085299999997	4.8137
8.213157	305.474831	4.849846	304.56158	4.845872
8.273071	306.488718	4.884746	305.575467	4.8807719999999994
8.333427	308.158237	4.921241	307.244986	4.917267
8.395251	310.073448	4.958134	309.160197	4.95416
8.458937	312.908542	4.995755	311.995291	4.991781
8.519375	315.011137	5.032711	314.097886	5.028737
8.580030	319.510120	5.068845	318.59686899999997	5.064870999999999
8.639231	322.047636	5.104673	321.134385	5.100699
8.698007	322.725561	5.140211	321.81231	5.1362369999999995
8.756458	323.570308	5.176703	322.657057	5.1727289999999995
8.810978	324.719459	5.208614	323.80620799999997	5.2046399999999995
8.870501	326.272758	5.243567	325.359507	5.239592999999999
8.928444	326.979230	5.278467	326.06597899999997	5.274493
8.986769	328.353965	5.313564	327.440714	5.30959
9.045088	330.084178	5.348164	329.170927	5.344189999999999
9.100560	332.675104	5.383219	331.761853	5.379245
9.156030	333.823862	5.414788	332.910611	5.410813999999999
9.210544	335.957886	5.448892	335.04463499999997	5.4449179999999995
9.268809	338.509431	5.483077	337.59618	5.479102999999999
9.331759	343.259232	5.519047	342.345981	5.515072999999999
9.391750	345.736774	5.556310	344.823523	5.5523359999999995
9.450805	346.445215	5.591575	345.531964	5.587600999999999
9.509779	346.981588	5.626978	346.068337	5.623004
9.568408	346.927629	5.662542	346.014378	5.658568
9.618857	348.896732	5.694304	347.983481	5.690329999999999
9.672920	349.825998	5.726584	348.912747	5.7226099999999995
9.725323	350.996900	5.757890	350.083649	5.753915999999999
9.782656	352.573418	5.790898	351.660167	5.786924
9.844041	354.461706	5.826937	353.548455	5.822963
9.903452	355.119170	5.863451	354.205919	5.859477
9.959064	356.312727	5.898119	355.399476	5.894145
10.017167	357.337607	5.931131	356.424356	5.927156999999999
10.073326	358.941617	5.966488	358.028366	5.962514
10.125119	360.361913	5.997723	359.448662	5.993748999999999
10.182759	362.756342	6.000000	361.843091	5.996026
