2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-2.223184,#load/mN#-0.006667 loadDisp_c13r14_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
7.842565	327.980247	7.664061	7.657394	325.757063
7.903280	329.763157	7.724430	7.717763	327.539973
7.963069	332.050557	7.784479	7.777812	329.827373
8.021838	333.770742	7.843266	7.836599	331.547558
8.082252	335.750592	7.903925	7.897258	333.527408
8.139626	337.144917	7.962057	7.9553899999999995	334.921733
8.192342	339.214601	8.016776	8.010109	336.991417
8.247092	341.283421	8.070188	8.063521	339.060237
8.307342	343.017540	8.128681	8.122014	340.794356
8.366170	345.317389	8.187751	8.181084	343.094205
8.424226	347.894967	8.246011	8.239344	345.671783
8.482829	350.751894	8.304520	8.297853	348.52871
8.542900	352.691484	8.364623	8.357956	350.4683
8.600746	354.747482	8.422683	8.416015999999999	352.524298
8.659193	357.608398	8.481064	8.474397	355.385214
8.718002	362.759980	8.539950	8.533282999999999	360.536796
8.777508	363.687458	8.600007	8.59334	361.464274
8.828957	364.935583	8.653240	8.646573	362.712399
8.883132	366.363478	8.706329	8.699662	364.140294
8.942593	367.956004	8.764208	8.757541	365.73282
9.001611	369.650461	8.823414	8.816747	367.427277
9.061305	371.413376	8.882741	8.876074	369.190192
9.121700	372.993334	8.943237	8.93657	370.77015
9.179536	374.646864	9.001958	8.995291	372.42368
9.230810	375.722953	9.055247	9.04858	373.499769
9.285630	377.315738	9.108704	9.102037	375.092554
9.345563	379.488255	9.167237	9.16057	377.265071
9.404141	382.070732	9.226083	9.219415999999999	379.847548
9.460576	384.750087	9.283290	9.276622999999999	382.526903
9.520731	386.612569	9.341959	9.335291999999999	384.389385
9.580097	388.430820	9.401832	9.395165	386.207636
9.637801	390.675812	9.460006	9.453339	388.452628
9.697199	394.193721	9.519244	9.512577	391.970537
9.755117	396.853344	9.576972	9.570305	394.63016
9.815320	398.978029	9.636752	9.630085	396.754845
9.875146	400.328130	9.696747	9.69008	398.104946
9.935451	402.999357	9.756567	9.7499	400.776173
9.995480	404.960703	9.817059	9.810392	402.737519
10.054704	406.881390	9.876365	9.869698	404.658206
10.113544	408.080263	9.935218	9.928551	405.857079
10.173412	409.980577	9.995163	9.988496	407.757393
10.237914	411.192576	10.000000	9.993333	408.96939199999997
