2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-2.542864,#load/mN#-0.005020 loadDisp_c3r1_rt.txt
time/s	depth/nm	load/mN	exp_load/mN	exp_depth/nm
8.286500	356.595088	8.126227	8.121207	354.05222399999997
8.346126	359.058655	8.185509	8.180489	356.515791
8.406148	361.946982	8.245190	8.240169999999999	359.404118
8.464918	363.955789	8.304717	8.299697	361.412925
8.523051	365.752067	8.362968	8.357948	363.209203
8.580923	368.054985	8.420806	8.415786	365.512121
8.639569	371.212776	8.479444	8.474424	368.669912
8.698382	372.718350	8.537921	8.532901	370.175486
8.758772	374.043044	8.598446	8.593426	371.50018
8.818353	376.653533	8.657747	8.652727	374.110669
8.876978	378.898628	8.716758	8.711738	376.35576399999997
8.930375	379.870800	8.772755	8.767735	377.32793599999997
8.983323	381.396821	8.825558	8.820537999999999	378.853957
9.040563	383.630479	8.880656	8.875636	381.08761499999997
9.099513	385.312572	8.938919	8.933899	382.769708
9.158675	387.620514	8.998129	8.993109	385.07765
9.216933	390.322048	9.056916	9.051896	387.779184
9.275166	392.664216	9.114838	9.109818	390.121352
9.333687	395.589917	9.173369	9.168349	393.047053
9.394221	398.681163	9.233926	9.228906	396.138299
9.452907	400.414551	9.292968	9.287948	397.871687
9.511841	402.330983	9.351498	9.346478	399.788119
9.569789	404.592155	9.409622	9.404602	402.049291
9.628793	407.966682	9.468492	9.463472	405.423818
9.687476	409.899858	9.527240	9.52222	407.356994
9.748106	411.345472	9.587608	9.582588	408.80260799999996
9.807694	412.971926	9.647429	9.642409	410.429062
9.866144	415.400959	9.706058	9.701038	412.858095
9.924504	418.628284	9.764089	9.759069	416.08542
9.983387	420.785041	9.823021	9.818001	418.24217699999997
10.042199	422.216426	9.881912	9.876892	419.673562
10.101598	424.415967	9.941140	9.93612	421.873103
10.161436	426.454897	10.000000	9.99498	423.912033
