2	header
addCalculation 2.0.3-2255-gc74ffae8	-l exp_depth/nm,exp_load/mN -f #depth/nm#-1.850671,#load/mN#-0.003249 loadDisp_c1r1_ht.txt
time/s	depth/nm	load/mN	exp_depth/nm	exp_load/mN
2.666424	98.811047	1.524218	96.960376	1.520969
2.721766	102.067796	1.556644	100.217125	1.5533949999999999
2.779044	105.480434	1.590184	103.629763	1.586935
2.838448	106.714491	1.625435	104.86381999999999	1.622186
2.897436	108.560559	1.661658	106.70988799999999	1.658409
2.950601	110.167823	1.694362	108.317152	1.6911129999999999
3.001968	111.581945	1.725606	109.731274	1.722357
3.055994	113.263354	1.757818	111.412683	1.754569
3.112239	115.168731	1.790470	113.31805999999999	1.787221
3.170578	118.099750	1.825169	116.249079	1.82192
3.229461	120.625874	1.860472	118.77520299999999	1.8572229999999998
3.287177	122.131238	1.895129	120.28056699999999	1.89188
3.346558	123.811928	1.930420	121.96125699999999	1.927171
3.404194	124.860438	1.965679	123.009767	1.96243
3.457213	127.483807	1.998392	125.633136	1.9951429999999999
3.513009	130.010472	2.031028	128.159801	2.027779
3.570013	132.290686	2.065107	130.440015	2.061858
3.629196	135.473452	2.100162	133.622781	2.0969130000000002
3.686522	136.522231	2.134910	134.67156	2.1316610000000003
3.744066	139.054165	2.169332	137.203494	2.166083
3.797967	140.240930	2.203142	138.390259	2.1998930000000003
3.851571	141.949308	2.234681	140.098637	2.2314320000000003
3.906838	145.474077	2.268336	143.623406	2.2650870000000003
3.961286	147.869250	2.300143	146.018579	2.296894
4.020217	149.931773	2.334868	148.081102	2.3316190000000003
4.074519	150.939166	2.368912	149.088495	2.365663
4.127387	152.986678	2.400212	151.136007	2.396963
4.189446	155.476525	2.435737	153.625854	2.432488
4.248996	157.149897	2.472060	155.299226	2.468811
4.307824	159.399417	2.507327	157.548746	2.5040780000000002
4.365859	161.585966	2.542362	159.735295	2.539113
4.424057	163.080660	2.577337	161.229989	2.574088
4.483559	166.370896	2.612785	164.52022499999998	2.6095360000000003
4.542606	168.313908	2.648113	166.463237	2.644864
4.600308	170.432115	2.683245	168.581444	2.679996
4.657806	172.901350	2.717768	171.050679	2.714519
4.716140	173.879282	2.752376	172.02861099999998	2.749127
4.773887	176.562815	2.787325	174.712144	2.784076
4.828691	178.591777	2.820887	176.741106	2.817638
4.881522	179.919675	2.853135	178.069004	2.849886
4.938906	182.046214	2.887717	180.195543	2.884468
4.990592	183.865109	2.918637	182.01443799999998	2.915388
5.042395	185.878861	2.949393	184.02819	2.9461440000000003
5.101255	188.451416	2.983412	186.600745	2.980163
5.159543	190.963510	3.018296	189.112839	3.015047
5.222351	193.762172	3.054542	191.911501	3.0512930000000003
5.282898	195.118619	3.091892	193.267948	3.0886430000000002
5.337877	196.753602	3.126985	194.902931	3.123736
5.395221	199.730442	3.159263	197.879771	3.1560140000000003
5.452766	204.905040	3.194423	203.054369	3.191174
5.504780	208.829173	3.227279	206.978502	3.22403
5.560874	211.628700	3.259726	209.778029	3.2564770000000003
5.615913	213.640346	3.293832	211.789675	3.2905830000000003
5.668602	215.031269	3.325165	213.180598	3.3219160000000003
5.727720	215.963734	3.359176	214.11306299999998	3.3559270000000003
5.786594	218.036448	3.394582	216.185777	3.3913330000000004
5.844831	218.716384	3.429778	216.865713	3.4265290000000004
5.899170	219.579573	3.463799	217.728902	3.46055
5.954372	221.614116	3.495865	219.763445	3.492616
6.009726	222.963759	3.530058	221.113088	3.526809
6.064907	224.854596	3.562562	223.00392499999998	3.559313
6.125404	226.247194	3.597779	224.396523	3.5945300000000002
6.183004	227.412752	3.632683	225.562081	3.6294340000000003
6.241196	229.982478	3.667606	228.13180699999998	3.6643570000000003
